Wave,Unit_Wolfweakling,Unit_Wolfstone,Unit_Wolfclub,Unit_Wolfslingshot,Unit_Wolfshaman,Unit_Wolfdestoryer
1,5,5,0,0,0,0
2,5,5,2,2,0,0
3,5,3,3,3,2,0
4,3,3,5,3,3,0
5,0,0,6,5,5,1
6,0,0,2,7,7,0
7,0,0,5,5,5,0
8,0,0,10,5,5,0
9,20,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,5,3,3,0
12,0,0,5,5,5,0
13,0,0,0,0,0,2
14,0,10,0,5,5,0
15,0,0,12,0,0,0
16,0,0,10,5,5,0
17,20,15,0,0,0,0
18,0,0,0,0,0,0
19,0,10,0,10,5,0
20,0,0,10,0,0,0
21,0,0,0,0,0,3
22,0,0,13,5,5,0
23,0,0,13,5,5,0
24,0,0,13,5,5,0
25,10,10,0,0,0,0
26,0,0,17,8,8,0
27,0,0,17,8,8,0
28,0,0,17,8,8,0
29,0,0,17,8,8,4
30,20,20,10,10,10,5
